city,freebase_id,iata_code,country
Abu Kabir,/m/0n47xcx,,Egypt
Abu Qurayn,/m/06w701y,,Libya
Abuja,/m/0fnxw,,Nigeria
Abutig,/m/02r6vgd,,Egypt
Abydos,/m/0pyn,,Turkey
Abádszalók,/m/026mfc2,,Hungary
Abéché,/m/03cgh7,,Chad
Acajutla,/m/0cbj8x,,El Salvador
Acalayong,/m/05nttv,,Equatorial Guinea
Acandí,/m/02qd8xk,,Colombia
Acanthus,/m/02pmfjj,,Greece
Acanthus,/m/02pmh4g,,Egypt
Acapulco de Juárez,/m/0p_f,,Mexico
Acarigua,/m/0c6h_9,,Venezuela
Acassuso,/m/03nt4l4,,Argentina
Accra,/m/0fnyc,,Ghana
Aceguá,/m/05c2v9b,,Brazil
Aceguá,/m/0gvs8g0,,Uruguay
Acequia,/m/0s2cd,,United States
Acerrae,/m/05f36cw,,Italy
Achacachi,/m/0blnpv,,Bolivia
Achaguas,/m/071sr_,,Venezuela
Achern,/m/077x61,,Germany
Achilleion,/m/0gffy4n,,Turkey
Achim,/m/0cl8fv,,Germany
Achinsk,/m/0737bk,,Russia
Achshaph,/m/0hxrd,,Israel
Acidava,/m/0fphbh0,,Romania
Ackerly,/m/013mfj,,United States
Ackley,/m/013cgf,,United States
Ackworth,/m/0t3zb,,United States
Acmonia,/m/09s4c_,,Turkey
Acomayo,/m/047tcqm,,Peru
Acre,/m/0fgjl,,Israel
Acrelândia,/m/026bdxl,,Brazil
Acrocorinth,/m/08hkcy,,Greece
Acropolis Palaiokastro,/m/0cx1qs,,Greece
Acropolis of Athens,/m/0wjj,,Greece
Acropolis of Lindos,/m/0k6h5vd,,Greece
Acropolis of Rhodes,/m/03h0f7_,,Greece
Acuera,/m/03gsz_j,,United States
Acumincum,/m/0cn_kdr,,Serbia
Acworth,/m/0rv7h,,United States
Ad Turres,/m/02pvvc8,,Italy
Ad Turres Albas,/m/02pvvrn,,Italy
Ada,/m/0z9fq,,United States
Ada,/m/0w8_1,,United States
Adab,/m/036nml,,Iraq
Adair,/m/0sr7j,,United States
Adair Village,/m/0zb_v,,United States
Adairsville,/m/0rt3v,,United States
Adairville,/m/0tgw5,,United States
Adak,/m/0qcmr,,United States
